"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D33,D27,D26,D28,D24,D30,D32,D31,D23,D29,D25,D22,D29,D23,D30,D33,D24,D26,D27,D25,D32,D31,D28,D22";"LED_0201_0603Metric";24;"LED";;;
2;"C14,C13,C14,C13";"C_0402_1005Metric";4;"33pF";;;
3;"C8,C7,C2,C12,C11,C17,C10,C5,C9,C6,C3,C7,C5,C9,C2,C8,C10,C12,C11,C6,C3,C17";"C_0402_1005Metric";22;"0.1uF";;;
4;"SW29,SW41,SW28,SW39,SW35,SW34,SW40,SW37,SW43,SW27,SW30,SW24,SW33,SW23,SW36,SW38,SW31,SW42,SW25,SW32,SW26,SW8,SW20,SW12,SW19,SW5,SW3,SW18,SW7,SW11,SW14,SW13,SW4,SW21,SW17,SW6,SW2,SW10,SW15,SW16,SW1,SW9";"SW_Cherry_MX_1.00u_PCB";42;"SW_Push_45deg";;;
5;"U2,U2";"SOT-23";2;"MCP1700x-330xxTT";;;
6;"C1,C4,C4,C1";"C_0402_1005Metric";4;"1uF";;;
7;"C16,C15,C16,C15";"C_0603_1608Metric";4;"10uF";;;
8;"R2,R1,R2,R1";"R_0402_1005Metric";4;"27";;;
9;"U1,U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";2;"RP2040";;;
10;"SW22,SW22";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
11;"J1,J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";2;"USB_C_Receptacle_USB2.0_14P";;;
12;"R6,R3,R6,R3";"R_0402_1005Metric";4;"1K";;;
13;"R7,R7";"R_0402_1005Metric";2;"10K";;;
14;"R5,R4,R4,R5";"R_0402_1005Metric";4;"5.1K";;;
15;"Y1,Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";2;"12 MHz";;;
16;"U3,U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";2;"W25Q16JVUXIQ TR";;;
17;"D43,D35,D50,D49,D45,D51,D36,D40,D47,D46,D39,D41,D54,D42,D52,D48,D44,D53,D37,D38,D34,D17,D19,D21,D3,D2,D12,D5,D16,D14,D20,D10,D7,D18,D4,D9,D13,D1,D8,D11,D15,D6";"D_DO-35_SOD27_P7.62mm_Horizontal";42;"1N4148";;;
